Commune,Nombre de ventes,Prix moyen au m²,Nombre de VEFA,Densité par km²,Année,Salaire moyen
Lintgen,17,4 901 ,39,190.3,2017,4555.96
Lorentzweiler,23,5 043 ,23,223.27,2017,5241.81
Mamer,40,5 716 ,43,333.51,2017,6460.4
Mersch,68,4 810 ,24,184.86,2017,4329.57
Mertert,28,4 301 ,6,297.05,2017,4138.78
Mondercange,37,4 624 ,30,313.46,2017,5382.06
Mondorf-les-Bains,58,4 778 ,15,365.96,2017,4406.18
Niederanven,10,6 341 ,1,147.24,2017,8662.14
Parc Hosingen,11,3 313 ,2,48.61,2017,4026.78
Reckange-sur-Mess,17,4 443 ,1,117.38,2017,6134.56
Remich,36,4 410 ,1,686.58,2017,4039.15
Roeser,58,5 459 ,3,257.35,2017,5099.63
Rumelange,41,4 002 ,0,815.96,2017,3584.08
Sandweiler,28,5 921 ,13,464.68,2017,6198.16
Sanem,103,4 651 ,105,660.77,2017,4392.19
Schengen,24,4 597 ,3,152.93,2017,4879.7
Schieren,11,4 789 ,0,192.51,2017,4129.95
Schifflange,82,4 694 ,30,1346.17,2017,3956.22
Stadtbredimus,10,4 515 ,0,183.48,2017,4853.68
Steinfort,24,4 679 ,60,417.85,2017,4980.25
Steinsel,16,5 746 ,9,243.51,2017,6293.97
Strassen,79,6 821 ,34,824.28,2017,7439.84
Beckerich,12,4 426 ,11,88.63,2018,4749.21
Bertrange,44,7 479 ,66,469.06,2018,7325.52
Bettembourg,59,5 155 ,48,512.01,2018,4418.13
Bissen,12,4 805 ,4,149.16,2018,4459.75
Clervaux,31,3 703 ,28,61.47,2018,3811.46
Colmar-Berg,27,4 534 ,0,180.18,2018,4262.34
Contern,14,5 807 ,12,185.69,2018,6510.92
Diekirch,33,4 696 ,46,543.96,2018,3937.42
Differdange,292,4 608 ,118,1180.93,2018,3203.87
Dippach,22,5 131 ,3,241.68,2018,6037.3
Dudelange,155,4 726 ,46,976.1,2018,4100.91
Echternach,19,4 605 ,13,273.99,2018,3664.44
Esch-sur-Alzette,343,4 639 ,58,2441.81,2018,3500.97
Ettelbruck,55,4 618 ,44,575.43,2018,3660.63
Frisange,36,5 358 ,9,250.24,2018,5218.8
Grevenmacher,37,4 843 ,6,298.6,2018,4492.21
Habscht,38,4 573 ,38,136.14,2018,5036.15
Helperknapp,16,4 484 ,30,111.06,2018,5128.78
Hesperange,109,6 474 ,25,560.1,2018,6357.32
Junglinster,33,5 827 ,22,137.47,2018,6313.4
Käerjeng,51,4 794 ,15,305.73,2018,4926.46
Kayl,85,5 018 ,32,612.25,2018,3883.01
Kehlen,23,5 437 ,7,214.9,2018,6618.41
Larochette,10,4 007 ,13,139.35,2018,3609.15
Leudelange,30,6 662 ,0,190.05,2018,6838.28
Lintgen,16,4 736 ,34,199.28,2018,4643.92
Lorentzweiler,17,6 026 ,38,228.42,2018,5751.06
Mamer,39,5 704 ,35,345.97,2018,6928.68
Mersch,51,5 331 ,36,189.79,2018,4413.8
Mertert,22,4 507 ,15,296.2,2018,4121.06
Mondercange,37,4 912 ,24,324.11,2018,5341.55
Mondorf-les-Bains,52,5 505 ,5,372.04,2018,4358.26
Parc Hosingen,10,3 791 ,3,49.47,2018,4158.36
Rambrouch,10,3 343 ,1,54.7,2018,4328.7
Remich,35,4 522 ,0,689.04,2018,4008.25
Roeser,51,6 020 ,4,263.78,2018,5247.43
Rumelange,22,4 238 ,0,811.86,2018,3416.4
Sandweiler,17,6 233 ,0,471.15,2018,6640.39
Sanem,113,4 788 ,46,687.14,2018,4345.69
Schengen,29,4 453 ,14,153.15,2018,4801.45
Schifflange,86,5 380 ,31,1394.29,2018,3822.7
Schuttrange,13,5 801 ,1,258.14,2018,7048.38
Stadtbredimus,14,4 878 ,0,187.22,2018,4822.68
Steinfort,25,4 881 ,25,421.55,2018,4988.24
Steinsel,22,5 940 ,20,243.97,2018,6811.5
Strassen,54,7 367 ,92,862.0,2018,7744.59
Vallée de l'Ernz,10,4 146 ,0,65.29,2018,4151.52
Bertrange,30,8 534 ,30,476.25,2019,7743.18
Bettembourg,40,5 994 ,22,521.03,2019,4709.89
Bissen,15,5 132 ,15,153.4,2019,4632.34
Clervaux,29,3 751 ,29,62.79,2019,3910.19
Colmar-Berg,23,5 080 ,17,177.66,2019,4413.15
Diekirch,34,5 078 ,29,562.64,2019,4088.67
Differdange,302,4 955 ,187,1208.12,2019,3373.32
Dippach,19,5 693 ,9,248.74,2019,5706.11
Dudelange,134,5 302 ,41,986.3,2019,4253.84
Echternach,31,4 710 ,6,274.18,2019,3767.7
Esch-sur-Alzette,273,5 111 ,74,2465.64,2019,3640.1
Ettelbruck,51,5 126 ,102,588.01,2019,3801.08
Frisange,29,5 607 ,3,254.04,2019,5505.1
Grevenmacher,34,5 113 ,1,297.57,2019,4534.95
Habscht,22,4 566 ,35,139.28,2019,5180.86
Hesperange,100,7 530 ,83,568.66,2019,6781.0
Junglinster,18,5 920 ,16,140.88,2019,6251.34
Käerjeng,40,5 203 ,15,309.15,2019,5103.19
Kayl,85,5 669 ,21,626.85,2019,4058.5
Kehlen,11,6 503 ,27,217.99,2019,6837.98
Leudelange,10,7 445 ,0,196.61,2019,7219.95
Lintgen,20,5 385 ,25,203.8,2019,4622.59
Lorentzweiler,15,6 574 ,23,233.98,2019,5848.62
Mamer,29,6 360 ,59,353.3,2019,6957.19
Mersch,42,5 391 ,22,193.87,2019,4686.87
Mertert,24,5 054 ,16,299.21,2019,4475.36
Mondercange,38,5 628 ,20,325.19,2019,5523.14
Mondorf-les-Bains,46,5 799 ,15,386.02,2019,4575.43
Parc Hosingen,17,3 735 ,2,50.83,2019,4323.65
Remich,38,4 989 ,0,700.76,2019,4284.76
Roeser,50,6 254 ,11,271.39,2019,5589.9
Rumelange,40,4 821 ,0,821.08,2019,3486.98
Sandweiler,18,6 698 ,0,475.55,2019,7021.97
Sanem,87,5 191 ,86,707.49,2019,4483.25
Schengen,31,4 913 ,3,153.82,2019,5085.68
Schifflange,95,5 885 ,26,1450.06,2019,4008.65
Stadtbredimus,15,4 869 ,0,186.23,2019,5036.64
Steinfort,13,5 164 ,41,434.29,2019,5350.1
Steinsel,10,6 497 ,5,247.96,2019,6802.77
Strassen,51,8 374 ,40,895.33,2019,8028.5
Berdorf,12,5 110 ,10,85.18,2020,4852.56
Bertrange,53,10 088 ,23,484.88,2020,8365.76
Bettembourg,39,6 962 ,6,526.71,2020,5109.83
Bettendorf,12,5 179 ,18,125.09,2020,4186.19
Bissen,21,6 150 ,11,154.99,2020,4986.93
Clervaux,27,4 352 ,68,64.23,2020,4245.15
Colmar-Berg,16,5 461 ,9,178.07,2020,4633.32
Diekirch,39,6 083 ,43,566.99,2020,4490.53
Differdange,258,5 999 ,52,1235.75,2020,3596.13
Dippach,10,6 998 ,6,255.4,2020,5989.3
Dudelange,142,6 468 ,46,995.84,2020,4577.88
Echternach,28,5 344 ,6,274.13,2020,4237.29
Esch-sur-Alzette,290,6 021 ,98,2523.9,2020,3976.8
Esch-sur-Sûre,11,5 022 ,1,55.7,2020,4570.03
Ettelbruck,42,5 507 ,23,602.64,2020,4383.8
Frisange,28,6 595 ,9,257.51,2020,5991.29
Grevenmacher,21,5 474 ,5,299.51,2020,4984.06
Habscht,26,5 862 ,10,145.49,2020,5695.65
Helperknapp,17,5 972 ,36,116.64,2020,5840.2
Hesperange,95,8 437 ,111,572.52,2020,7191.74
Junglinster,17,7 131 ,29,146.08,2020,6932.75
Käerjeng,36,6 373 ,19,310.78,2020,5462.23
Kayl,92,6 599 ,22,639.7,2020,4417.01
Kehlen,13,7 060 ,5,221.15,2020,7429.62
Kopstal,17,8 606 ,15,511.14,2020,9493.63
Larochette,12,5 439 ,8,142.47,2020,4015.86
Leudelange,10,7 410 ,0,199.12,2020,8262.14
Lintgen,16,6 330 ,11,206.89,2020,5252.97
Lorentzweiler,17,7 952 ,26,243.32,2020,6188.21
Mamer,29,7 200 ,64,359.95,2020,7616.16
Mersch,52,6 355 ,3,197.35,2020,5132.11
Mertert,22,5 574 ,89,303.93,2020,4951.29
Mondercange,33,6 641 ,24,327.43,2020,6006.4
Mondorf-les-Bains,40,6 618 ,48,392.31,2020,5196.67
Remich,38,6 173 ,25,705.48,2020,4770.27
Roeser,46,7 564 ,36,275.25,2020,6096.84
Rumelange,31,5 613 ,0,820.5,2020,3764.25
Sandweiler,22,7 510 ,6,478.4,2020,7560.96
Sanem,101,6 185 ,41,718.67,2020,4788.43
Schengen,29,5 799 ,1,156.72,2020,5393.81
Schifflange,110,7 321 ,4,1464.72,2020,4262.13
Schuttrange,12,7 413 ,1,265.47,2020,8696.58
Stadtbredimus,16,5 738 ,4,191.45,2020,5479.91
Steinfort,15,6 793 ,16,448.93,2020,5815.87
Steinsel,24,7 478 ,21,249.56,2020,7485.99
Strassen,60,9 683 ,53,923.25,2020,8799.29
Vianden,10,4 871 ,0,221.1,2020,3983.36
Beckerich,11,5 955 ,1,97.99,2021,5257.53
Bertrange,45,10 397 ,24,487.18,2021,8300.25
Bettembourg,56,7 565 ,6,529.27,2021,5344.28
Betzdorf,10,7 364 ,0,159.09,2021,7561.5
Bissen,20,7 263 ,6,157.54,2021,5097.12
Bous,10,6 689 ,0,110.89,2021,5386.97
Clervaux,24,5 468 ,7,65.9,2021,4292.83
Colmar-Berg,15,6 473 ,4,181.8,2021,4725.15
Contern,20,8 357 ,0,193.09,2021,7401.55
Diekirch,35,6 879 ,4,567.39,2021,4472.23
Differdange,301,7 079 ,74,1256.49,2021,3734.55
Dippach,21,7 801 ,1,256.08,2021,6157.55
Dudelange,141,7 382 ,38,1006.22,2021,4697.89
Echternach,29,5 554 ,5,275.74,2021,4283.83
Erpeldange-sur-Sûre,13,6 901 ,43,136.45,2021,5516.02
Esch-sur-Alzette,289,7 050 ,9,2524.6,2021,4142.07
Ettelbruck,74,6 717 ,27,609.09,2021,4523.5
Frisange,22,7 638 ,7,258.76,2021,6033.99
Grevenmacher,29,7 096 ,0,302.25,2021,5205.91
Habscht,29,7 016 ,8,147.74,2021,5716.58
Helperknapp,16,7 076 ,0,120.66,2021,5703.73
Hesperange,122,9 223 ,52,575.2,2021,7316.31
Junglinster,21,7 804 ,11,148.66,2021,7043.06
Käerjeng,58,7 171 ,16,312.36,2021,5479.02
Kayl,79,7 430 ,17,650.61,2021,4528.43
Kehlen,21,8 421 ,0,217.81,2021,7883.88
